"modelo","porcentaje_etiquetado","hiperparametro","accuracy","precision","recall","f1","pseudoetiquetas","porcentaje_etiquetado_label"
"Baseline supervisado GLM",0.05,"-",0.813559322033898,0.230337078651685,0.261146496815287,0.244776119402985,0,"5%"
"Self-training GLM",0.05,"threshold=0.7",0.80545320560059,0.219895287958115,0.267515923566879,0.241379310344828,2980,"5%"
"Self-training GLM",0.05,"threshold=0.8",0.802505526897568,0.218274111675127,0.273885350318471,0.242937853107345,2941,"5%"
"Self-training GLM",0.05,"threshold=0.9",0.8069270449521,0.225130890052356,0.273885350318471,0.247126436781609,2844,"5%"
"Propagación de etiquetas kNN-RBF",0.05,"k=5",0.820928518791452,0.109090909090909,0.0764331210191083,0.0898876404494382,3006,"5%"
"Propagación de etiquetas kNN-RBF",0.05,"k=10",0.823139277818718,0.11214953271028,0.0764331210191083,0.0909090909090909,3006,"5%"
"Propagación de etiquetas kNN-RBF",0.05,"k=20",0.834929992630803,0.114942528735632,0.0636942675159236,0.0819672131147541,3006,"5%"
"Baseline supervisado GLM",0.1,"-",0.8828297715549,0.483870967741935,0.191082802547771,0.273972602739726,0,"10%"
"Self-training GLM",0.1,"threshold=0.7",0.887251289609433,0.545454545454545,0.152866242038217,0.238805970149254,2803,"10%"
"Self-training GLM",0.1,"threshold=0.8",0.887988209285188,0.560975609756098,0.146496815286624,0.232323232323232,2770,"10%"
"Self-training GLM",0.1,"threshold=0.9",0.885777450257922,0.52,0.165605095541401,0.251207729468599,2640,"10%"
"Propagación de etiquetas kNN-RBF",0.1,"k=5",0.851142225497421,0.258064516129032,0.152866242038217,0.192,2848,"10%"
"Propagación de etiquetas kNN-RBF",0.1,"k=10",0.871039056742815,0.378378378378378,0.178343949044586,0.242424242424242,2848,"10%"
"Propagación de etiquetas kNN-RBF",0.1,"k=20",0.877671333824613,0.395348837209302,0.10828025477707,0.17,2848,"10%"
"Baseline supervisado GLM",0.2,"-",0.889462048636699,0.546666666666667,0.261146496815287,0.353448275862069,0,"20%"
"Self-training GLM",0.2,"threshold=0.7",0.890198968312454,0.557142857142857,0.248407643312102,0.343612334801762,2484,"20%"
"Self-training GLM",0.2,"threshold=0.8",0.887251289609433,0.527027027027027,0.248407643312102,0.337662337662338,2421,"20%"
"Self-training GLM",0.2,"threshold=0.9",0.886514369933677,0.52112676056338,0.235668789808917,0.324561403508772,2275,"20%"
"Propagación de etiquetas kNN-RBF",0.2,"k=5",0.857037582903464,0.313131313131313,0.197452229299363,0.2421875,2532,"20%"
"Propagación de etiquetas kNN-RBF",0.2,"k=10",0.876197494473102,0.403508771929825,0.146496815286624,0.214953271028037,2532,"20%"
"Propagación de etiquetas kNN-RBF",0.2,"k=20",0.891672807663965,0.678571428571429,0.121019108280255,0.205405405405405,2532,"20%"
