"iteracion","nuevas_pseudoetiquetas","total_entrenamiento","modelo","porcentaje_etiquetado","threshold"
1,2778,2936,"Self-training GLM",0.05,0.7
2,159,3095,"Self-training GLM",0.05,0.7
3,33,3128,"Self-training GLM",0.05,0.7
4,8,3136,"Self-training GLM",0.05,0.7
5,2,3138,"Self-training GLM",0.05,0.7
6,0,3138,"Self-training GLM",0.05,0.7
1,2615,2773,"Self-training GLM",0.05,0.8
2,247,3020,"Self-training GLM",0.05,0.8
3,61,3081,"Self-training GLM",0.05,0.8
4,10,3091,"Self-training GLM",0.05,0.8
5,4,3095,"Self-training GLM",0.05,0.8
6,1,3096,"Self-training GLM",0.05,0.8
7,1,3097,"Self-training GLM",0.05,0.8
8,2,3099,"Self-training GLM",0.05,0.8
1,2332,2490,"Self-training GLM",0.05,0.9
2,333,2823,"Self-training GLM",0.05,0.9
3,104,2927,"Self-training GLM",0.05,0.9
4,33,2960,"Self-training GLM",0.05,0.9
5,13,2973,"Self-training GLM",0.05,0.9
6,17,2990,"Self-training GLM",0.05,0.9
7,7,2997,"Self-training GLM",0.05,0.9
8,5,3002,"Self-training GLM",0.05,0.9
1,2645,2961,"Self-training GLM",0.1,0.7
2,111,3072,"Self-training GLM",0.1,0.7
3,33,3105,"Self-training GLM",0.1,0.7
4,9,3114,"Self-training GLM",0.1,0.7
5,3,3117,"Self-training GLM",0.1,0.7
6,1,3118,"Self-training GLM",0.1,0.7
7,1,3119,"Self-training GLM",0.1,0.7
8,0,3119,"Self-training GLM",0.1,0.7
1,2480,2796,"Self-training GLM",0.1,0.8
2,212,3008,"Self-training GLM",0.1,0.8
3,37,3045,"Self-training GLM",0.1,0.8
4,20,3065,"Self-training GLM",0.1,0.8
5,11,3076,"Self-training GLM",0.1,0.8
6,7,3083,"Self-training GLM",0.1,0.8
7,2,3085,"Self-training GLM",0.1,0.8
8,1,3086,"Self-training GLM",0.1,0.8
1,2036,2352,"Self-training GLM",0.1,0.9
2,431,2783,"Self-training GLM",0.1,0.9
3,113,2896,"Self-training GLM",0.1,0.9
4,39,2935,"Self-training GLM",0.1,0.9
5,12,2947,"Self-training GLM",0.1,0.9
6,7,2954,"Self-training GLM",0.1,0.9
7,2,2956,"Self-training GLM",0.1,0.9
8,0,2956,"Self-training GLM",0.1,0.9
1,2367,2999,"Self-training GLM",0.2,0.7
2,85,3084,"Self-training GLM",0.2,0.7
3,18,3102,"Self-training GLM",0.2,0.7
4,9,3111,"Self-training GLM",0.2,0.7
5,3,3114,"Self-training GLM",0.2,0.7
6,2,3116,"Self-training GLM",0.2,0.7
7,0,3116,"Self-training GLM",0.2,0.7
1,2206,2838,"Self-training GLM",0.2,0.8
2,171,3009,"Self-training GLM",0.2,0.8
3,20,3029,"Self-training GLM",0.2,0.8
4,9,3038,"Self-training GLM",0.2,0.8
5,7,3045,"Self-training GLM",0.2,0.8
6,3,3048,"Self-training GLM",0.2,0.8
7,3,3051,"Self-training GLM",0.2,0.8
8,2,3053,"Self-training GLM",0.2,0.8
1,1730,2362,"Self-training GLM",0.2,0.9
2,360,2722,"Self-training GLM",0.2,0.9
3,116,2838,"Self-training GLM",0.2,0.9
4,38,2876,"Self-training GLM",0.2,0.9
5,26,2902,"Self-training GLM",0.2,0.9
6,5,2907,"Self-training GLM",0.2,0.9
7,0,2907,"Self-training GLM",0.2,0.9
